LSU_ID,Tahun,TanggalSampling,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,TahunTanam,UmurTanaman,JenisTanah,Topografi,SPH,N_Persen,P_Persen,K_Persen,Mg_Persen,Ca_Persen,B_ppm,KritisN,KritisP,KritisK,KritisMg,KritisB,StatusN,StatusP,StatusK,StatusMg,StatusB,Laboratorium
LSU-00001,2025,2025-04-28,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,2012,13,Mineral,Berbukit,143,2.821,0.177,1.031,0.245,0.596,18.1,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00002,2026,2026-04-15,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,2012,14,Mineral,Berbukit,143,2.55,0.1584,1.017,0.254,0.726,14.0,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00003,2025,2025-03-03,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,2007,18,Podsolik Merah Kuning,Datar,132,2.397,0.1583,1.143,0.24,0.644,24.7,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Optimum,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00004,2026,2026-04-06,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,2007,19,Podsolik Merah Kuning,Datar,132,2.683,0.1591,1.04,0.2,0.595,11.9,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00005,2025,2025-03-13,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,2016,9,Mineral,Datar,130,2.762,0.1632,0.925,0.25,0.593,19.2,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00006,2026,2026-03-17,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,2016,10,Mineral,Datar,130,2.566,0.152,1.008,0.274,0.641,18.5,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00007,2025,2025-03-21,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,2016,9,Mineral,Berbukit,140,2.471,0.158,0.867,0.212,0.657,17.9,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Defisit,Optimum,Lab Agronomi Pusat Palmaraya
LSU-00008,2026,2026-04-06,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,2016,10,Mineral,Berbukit,140,2.416,0.1607,0.977,0.28,0.603,19.1,2.5,0.15,1.0,0.24,15.0,Defisit,Optimum,Defisit,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00009,2025,2025-03-04,BSK-A-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.3,2014,11,Gambut,Datar,135,2.557,0.1526,1.029,0.239,0.457,12.3,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Defisit,Defisit,Lab Agronomi Pusat Palmaraya
LSU-00010,2026,2026-03-25,BSK-A-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.3,2014,12,Gambut,Datar,135,2.738,0.1612,0.77,0.227,0.545,18.6,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Defisit,Defisit,Optimum,Lab Independen Nusa Analitika
LSU-00011,2025,2025-03-28,BSK-A-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.2,2011,14,Gambut,Bergelombang,143,2.68,0.1585,1.114,0.261,0.611,17.3,2.5,0.15,1.0,0.24,15.0,Optimum,Optimum,Optimum,Optimum,Optimum,Lab Independen Nusa Analitika
LSU-00012,2026,2026-03-05,BSK-A-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.2,2011,15,Gambut,Bergelombang,143,2.552,0.149,1.161,0.28,0.627,11.4,2.5,0.15,1.0,0.24,15.0,Optimum,Defisit,Optimum,Optimum,Defisit,Lab Independen Nusa Analitika
