SampelTanahID,Tahun,BlokID,EstateKode,Estate,Afdeling,JenisTanah,Topografi,Kedalaman_cm,pH_H2O,C_Organik_Persen,N_Total_Persen,P_Bray_ppm,K_dd_me100g,Mg_dd_me100g,KTK_me100g,KejenuhanBasa_Persen,Tekstur
TN-0001,2026,BSK-A-001,BSK,Estate Bukit Sekawan,A,Mineral,Berbukit,20-40,5.17,2.86,0.125,13.0,0.151,0.495,20.2,32.8,Organik
TN-0002,2026,BSK-A-002,BSK,Estate Bukit Sekawan,A,Podsolik Merah Kuning,Datar,0-20,5.16,1.45,0.203,10.6,0.261,0.7,18.6,29.8,Organik
TN-0003,2026,BSK-A-005,BSK,Estate Bukit Sekawan,A,Gambut,Datar,0-20,4.4,12.65,0.232,10.9,0.054,0.459,16.7,25.5,Lempung berpasir
TN-0004,2026,BSK-A-015,BSK,Estate Bukit Sekawan,A,Mineral,Datar,0-20,5.49,2.67,0.192,11.5,0.199,0.596,15.9,27.3,Lempung berpasir
TN-0005,2026,BSK-A-022,BSK,Estate Bukit Sekawan,A,Gambut,Datar,0-20,4.14,12.2,0.243,10.7,0.239,0.477,15.9,21.2,Pasir berlempung
TN-0006,2026,BSK-A-023,BSK,Estate Bukit Sekawan,A,Mineral,Datar,20-40,5.1,1.89,0.144,15.0,0.175,0.279,19.4,36.7,Lempung berpasir
TN-0007,2026,BSK-B-003,BSK,Estate Bukit Sekawan,B,Podsolik Merah Kuning,Datar,0-20,5.39,1.54,0.156,10.0,0.111,0.452,20.9,18.7,Organik
TN-0008,2026,BSK-B-019,BSK,Estate Bukit Sekawan,B,Podsolik Merah Kuning,Bergelombang,0-20,4.59,1.95,0.175,10.8,0.297,0.5,13.0,22.7,Organik
TN-0009,2026,BSK-B-021,BSK,Estate Bukit Sekawan,B,Podsolik Merah Kuning,Datar,20-40,4.74,1.73,0.29,10.8,0.262,0.323,9.1,30.2,Lempung berpasir
TN-0010,2026,BSK-B-023,BSK,Estate Bukit Sekawan,B,Mineral,Datar,20-40,5.02,1.68,0.208,5.6,0.141,0.531,20.9,20.1,Organik
TN-0011,2026,BSK-C-009,BSK,Estate Bukit Sekawan,C,Gambut,Bergelombang,0-20,4.01,12.35,0.215,15.3,0.268,0.473,14.5,37.0,Organik
TN-0012,2026,BSK-C-013,BSK,Estate Bukit Sekawan,C,Mineral,Datar,20-40,5.18,2.11,0.171,15.7,0.231,0.371,15.5,42.3,Pasir berlempung
TN-0013,2026,BSK-C-019,BSK,Estate Bukit Sekawan,C,Mineral,Datar,0-20,5.15,1.12,0.207,10.2,0.28,0.445,7.4,34.2,Liat berdebu
TN-0014,2026,BSK-C-023,BSK,Estate Bukit Sekawan,C,Mineral,Berbukit,20-40,5.2,2.19,0.202,7.3,0.181,0.523,20.9,28.6,Lempung berpasir
TN-0015,2026,BSK-D-002,BSK,Estate Bukit Sekawan,D,Podsolik Merah Kuning,Datar,20-40,5.27,3.55,0.166,10.2,0.161,0.572,18.4,40.2,Pasir berlempung
TN-0016,2026,BSK-D-008,BSK,Estate Bukit Sekawan,D,Podsolik Merah Kuning,Datar,0-20,5.06,2.05,0.213,11.8,0.188,0.616,25.2,35.4,Organik
TN-0017,2026,BSK-D-009,BSK,Estate Bukit Sekawan,D,Podsolik Merah Kuning,Datar,20-40,4.98,1.6,0.26,12.3,0.213,0.413,13.7,32.8,Organik
TN-0018,2026,BSK-D-010,BSK,Estate Bukit Sekawan,D,Aluvial,Bergelombang,20-40,4.58,2.08,0.21,14.6,0.158,0.243,21.6,24.8,Organik
TN-0019,2026,BSK-D-012,BSK,Estate Bukit Sekawan,D,Podsolik Merah Kuning,Datar,0-20,4.83,1.21,0.215,9.8,0.093,0.489,10.1,29.8,Liat berdebu
TN-0020,2026,BSK-D-016,BSK,Estate Bukit Sekawan,D,Gambut,Bergelombang,20-40,4.75,12.39,0.16,12.6,0.231,0.419,19.9,21.6,Liat berdebu
TN-0021,2026,BSK-D-017,BSK,Estate Bukit Sekawan,D,Mineral,Datar,0-20,5.1,2.19,0.17,12.2,0.184,0.523,17.0,26.7,Liat berdebu
TN-0022,2026,BSK-D-019,BSK,Estate Bukit Sekawan,D,Gambut,Bergelombang,0-20,4.85,12.5,0.218,14.9,0.205,0.58,15.0,35.6,Organik
TN-0023,2026,BSK-D-023,BSK,Estate Bukit Sekawan,D,Gambut,Datar,20-40,4.68,11.85,0.153,7.2,0.19,0.455,15.9,20.1,Organik
TN-0024,2026,BSK-D-024,BSK,Estate Bukit Sekawan,D,Gambut,Berbukit,20-40,4.39,12.03,0.138,9.5,0.199,0.576,21.7,38.4,Liat berdebu
TN-0025,2026,BSK-E-005,BSK,Estate Bukit Sekawan,E,Aluvial,Datar,20-40,5.49,1.73,0.249,11.7,0.253,0.589,18.9,24.3,Lempung berpasir
TN-0026,2026,BSK-E-007,BSK,Estate Bukit Sekawan,E,Podsolik Merah Kuning,Bergelombang,20-40,5.2,1.72,0.181,11.7,0.122,0.497,21.2,27.2,Liat berdebu
TN-0027,2026,BSK-E-010,BSK,Estate Bukit Sekawan,E,Podsolik Merah Kuning,Bergelombang,0-20,5.25,2.69,0.191,11.9,0.18,0.484,9.8,12.9,Liat berdebu
TN-0028,2026,BSK-E-020,BSK,Estate Bukit Sekawan,E,Podsolik Merah Kuning,Berbukit,20-40,5.2,1.72,0.165,12.0,0.002,0.534,20.1,33.1,Liat berdebu
TN-0029,2026,BSK-E-023,BSK,Estate Bukit Sekawan,E,Mineral,Datar,20-40,5.01,1.93,0.156,7.7,0.183,0.426,16.8,28.8,Liat berdebu
TN-0030,2026,BSK-F-003,BSK,Estate Bukit Sekawan,F,Gambut,Datar,20-40,4.55,12.68,0.143,16.6,0.206,0.549,22.5,36.3,Lempung berpasir
TN-0031,2026,BSK-F-004,BSK,Estate Bukit Sekawan,F,Mineral,Datar,0-20,5.49,1.66,0.226,18.4,0.145,0.582,14.9,25.4,Pasir berlempung
TN-0032,2026,BSK-F-005,BSK,Estate Bukit Sekawan,F,Mineral,Datar,0-20,5.18,1.78,0.115,13.9,0.115,0.441,13.2,41.2,Pasir berlempung
TN-0033,2026,BSK-F-007,BSK,Estate Bukit Sekawan,F,Mineral,Datar,0-20,5.08,2.18,0.191,12.8,0.151,0.721,13.6,22.2,Lempung berpasir
TN-0034,2026,BSK-F-011,BSK,Estate Bukit Sekawan,F,Mineral,Bergelombang,0-20,5.27,1.63,0.198,6.7,0.176,0.55,10.0,32.6,Pasir berlempung
TN-0035,2026,BSK-F-013,BSK,Estate Bukit Sekawan,F,Podsolik Merah Kuning,Datar,20-40,4.85,1.5,0.199,9.6,0.25,0.389,21.9,40.0,Liat berdebu
TN-0036,2026,BSK-F-014,BSK,Estate Bukit Sekawan,F,Podsolik Merah Kuning,Datar,20-40,5.28,1.82,0.166,15.3,0.102,0.557,22.1,29.1,Lempung berpasir
TN-0037,2026,TJL-A-001,TJL,Estate Tanjung Lestari,A,Mineral,Datar,20-40,4.89,1.95,0.108,11.3,0.31,0.496,12.7,23.7,Lempung berpasir
TN-0038,2026,TJL-A-005,TJL,Estate Tanjung Lestari,A,Gambut,Datar,0-20,4.67,12.75,0.172,12.8,0.196,0.666,15.0,33.5,Lempung berpasir
TN-0039,2026,TJL-A-006,TJL,Estate Tanjung Lestari,A,Mineral,Datar,0-20,5.24,2.15,0.202,10.7,0.248,0.546,12.9,29.5,Pasir berlempung
TN-0040,2026,TJL-A-007,TJL,Estate Tanjung Lestari,A,Podsolik Merah Kuning,Bergelombang,0-20,5.01,1.44,0.165,16.6,0.2,0.504,17.2,41.6,Liat berdebu
TN-0041,2026,TJL-A-014,TJL,Estate Tanjung Lestari,A,Gambut,Bergelombang,0-20,4.23,13.06,0.22,15.2,0.235,0.385,14.7,15.3,Liat berdebu
TN-0042,2026,TJL-A-017,TJL,Estate Tanjung Lestari,A,Gambut,Berbukit,20-40,4.94,11.82,0.163,6.9,0.097,0.55,17.4,38.1,Lempung berpasir
TN-0043,2026,TJL-A-021,TJL,Estate Tanjung Lestari,A,Gambut,Datar,20-40,4.55,12.68,0.202,8.9,0.233,0.558,15.2,28.8,Lempung berpasir
TN-0044,2026,TJL-A-022,TJL,Estate Tanjung Lestari,A,Gambut,Berbukit,20-40,4.45,12.65,0.235,12.5,0.096,0.311,9.4,34.7,Pasir berlempung
TN-0045,2026,TJL-A-023,TJL,Estate Tanjung Lestari,A,Gambut,Datar,0-20,4.61,14.02,0.214,15.8,0.194,0.422,17.2,32.6,Lempung berpasir
TN-0046,2026,TJL-A-024,TJL,Estate Tanjung Lestari,A,Mineral,Datar,0-20,4.75,2.2,0.184,10.2,0.213,0.395,13.4,25.6,Liat berdebu
TN-0047,2026,TJL-B-002,TJL,Estate Tanjung Lestari,B,Podsolik Merah Kuning,Bergelombang,0-20,5.11,1.89,0.217,13.4,0.151,0.425,15.0,29.3,Lempung berpasir
TN-0048,2026,TJL-B-003,TJL,Estate Tanjung Lestari,B,Mineral,Berbukit,0-20,4.93,1.63,0.221,8.5,0.223,0.356,15.9,17.2,Lempung berpasir
TN-0049,2026,TJL-B-005,TJL,Estate Tanjung Lestari,B,Aluvial,Berbukit,0-20,4.97,2.0,0.126,18.0,0.187,0.546,14.2,32.2,Organik
TN-0050,2026,TJL-B-012,TJL,Estate Tanjung Lestari,B,Mineral,Bergelombang,0-20,5.09,1.77,0.204,18.4,0.171,0.591,22.9,22.2,Lempung berpasir
TN-0051,2026,TJL-B-014,TJL,Estate Tanjung Lestari,B,Mineral,Bergelombang,0-20,5.19,1.83,0.192,9.0,0.222,0.527,14.2,22.1,Lempung berpasir
TN-0052,2026,TJL-B-016,TJL,Estate Tanjung Lestari,B,Mineral,Datar,20-40,4.74,2.06,0.196,14.2,0.156,0.344,18.4,30.2,Lempung berpasir
TN-0053,2026,TJL-B-019,TJL,Estate Tanjung Lestari,B,Mineral,Bergelombang,0-20,4.66,1.59,0.181,13.7,0.162,0.455,16.0,20.1,Liat berdebu
TN-0054,2026,TJL-B-020,TJL,Estate Tanjung Lestari,B,Gambut,Datar,0-20,4.97,14.05,0.141,7.4,0.273,0.485,16.8,21.3,Liat berdebu
TN-0055,2026,TJL-C-001,TJL,Estate Tanjung Lestari,C,Gambut,Bergelombang,0-20,4.7,12.64,0.201,10.1,0.203,0.307,16.5,40.5,Liat berdebu
TN-0056,2026,TJL-C-004,TJL,Estate Tanjung Lestari,C,Aluvial,Datar,20-40,4.73,2.99,0.231,11.0,0.135,0.402,18.9,27.0,Pasir berlempung
TN-0057,2026,TJL-C-005,TJL,Estate Tanjung Lestari,C,Gambut,Bergelombang,20-40,4.25,13.24,0.226,4.5,0.325,0.512,13.4,12.9,Organik
TN-0058,2026,TJL-C-007,TJL,Estate Tanjung Lestari,C,Mineral,Datar,20-40,5.29,2.22,0.169,13.4,0.215,0.533,13.8,23.3,Liat berdebu
TN-0059,2026,TJL-C-010,TJL,Estate Tanjung Lestari,C,Gambut,Berbukit,0-20,5.04,12.96,0.129,11.5,0.284,0.433,18.0,29.6,Liat berdebu
TN-0060,2026,TJL-C-011,TJL,Estate Tanjung Lestari,C,Mineral,Datar,20-40,5.28,2.33,0.223,9.3,0.28,0.583,19.4,21.7,Liat berdebu
TN-0061,2026,TJL-C-012,TJL,Estate Tanjung Lestari,C,Podsolik Merah Kuning,Datar,0-20,5.21,2.18,0.228,10.5,0.182,0.446,16.7,24.2,Liat berdebu
TN-0062,2026,TJL-C-013,TJL,Estate Tanjung Lestari,C,Podsolik Merah Kuning,Bergelombang,20-40,5.39,2.44,0.159,6.7,0.264,0.456,17.4,34.5,Pasir berlempung
