Tanggal,Tahun,Bulan,NamaBulan,EstateKode,Estate,Wilayah,CurahHujan_mm,HariHujan,HariKerjaEfektif
2026-01-01,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-01,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-01,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-01,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-01,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,28.3,1,1
2026-01-01,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-01,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,11.0,1,1
2026-01-02,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,21.2,1,1
2026-01-02,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,33.2,1,1
2026-01-02,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,17.4,1,1
2026-01-02,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,29.6,1,1
2026-01-02,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-02,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-02,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-03,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-03,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-03,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,35.1,1,1
2026-01-03,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-03,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-03,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-03,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-04,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,29.0,1,1
2026-01-04,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-04,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-04,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-04,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-04,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-04,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-05,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,25.7,1,1
2026-01-05,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-05,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-05,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-05,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-05,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,20.0,1,1
2026-01-05,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-06,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,12.4,1,1
2026-01-06,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-06,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-06,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-06,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-06,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-06,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,34.5,1,1
2026-01-07,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-07,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,45.4,1,1
2026-01-07,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-07,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,18.5,1,1
2026-01-07,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-07,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-07,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-08,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-08,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-08,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,3.7,1,1
2026-01-08,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,18.3,1,1
2026-01-08,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,5.4,1,1
2026-01-08,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,36.5,1,1
2026-01-08,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,33.8,1,1
2026-01-09,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,21.1,1,1
2026-01-09,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-09,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-09,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-09,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,30.9,1,1
2026-01-09,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,18.1,1,1
2026-01-09,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,33.3,1,1
2026-01-10,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-10,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-10,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,2.2,1,1
2026-01-10,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-10,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,21.8,1,1
2026-01-10,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-10,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-11,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,20.1,1,1
2026-01-11,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-11,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-11,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-11,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,27.7,1,1
2026-01-11,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,19.3,1,1
2026-01-11,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-12,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-12,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,18.7,1,1
2026-01-12,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-12,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-12,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-12,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-12,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,21.8,1,1
2026-01-13,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-13,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,19.7,1,1
2026-01-13,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-13,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,48.2,1,1
2026-01-13,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,2.5,1,1
2026-01-13,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,31.4,1,1
2026-01-13,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-14,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-14,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-14,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-14,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-14,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,14.6,1,1
2026-01-14,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-14,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-15,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-15,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-15,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-15,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,20.4,1,1
2026-01-15,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,25.7,1,1
2026-01-15,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,32.7,1,1
2026-01-15,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-16,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,3.1,1,1
2026-01-16,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-16,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,5.8,1,1
2026-01-16,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,18.0,1,1
2026-01-16,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,40.3,1,1
2026-01-16,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-16,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-17,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,3.4,1,1
2026-01-17,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,18.8,1,1
2026-01-17,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-17,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
2026-01-17,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,27.5,1,1
2026-01-17,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-17,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,39.0,1,1
2026-01-18,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-18,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-18,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,33.8,1,1
2026-01-18,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,29.5,1,1
2026-01-18,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-18,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,0.0,0,1
2026-01-18,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,21.6,1,1
2026-01-19,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-19,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,0.0,0,1
2026-01-19,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,33.7,1,1
2026-01-19,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,45.9,1,1
2026-01-19,2026,1,Jan,LDP,Estate Landak Permai,Kalimantan Barat,0.0,0,1
2026-01-19,2026,1,Jan,RKJ,Estate Rokan Jaya,Riau,26.5,1,1
2026-01-19,2026,1,Jan,KPS,Estate Kampar Sentosa,Riau,0.0,0,1
2026-01-20,2026,1,Jan,BSK,Estate Bukit Sekawan,Kalimantan Tengah,0.0,0,1
2026-01-20,2026,1,Jan,TJL,Estate Tanjung Lestari,Kalimantan Tengah,31.0,1,1
2026-01-20,2026,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,0.0,0,1
2026-01-20,2026,1,Jan,SRK,Estate Sungai Rangkat,Kalimantan Barat,0.0,0,1
