Tahun,Bulan,NamaBulan,Periode,HargaCPO_Rp_per_Ton,HargaPK_Rp_per_Ton,HargaTBS_Rp_per_Kg
2025,1,Jan,Jan-2025,12463000,6833000,2554.9
2025,2,Feb,Feb-2025,12769000,6704000,2617.6
2025,3,Mar,Mar-2025,12617000,6761000,2586.5
2025,4,Apr,Apr-2025,12444000,6911000,2551.0
2025,5,Mei,Mei-2025,12473000,7396000,2557.0
2025,6,Jun,Jun-2025,12366000,6455000,2535.0
2025,7,Jul,Jul-2025,12319000,7314000,2525.5
2025,8,Agu,Agu-2025,12519000,6814000,2566.4
2025,9,Sep,Sep-2025,12363000,6583000,2534.4
2025,10,Okt,Okt-2025,12511000,6621000,2564.8
2025,11,Nov,Nov-2025,12727000,7178000,2609.1
2025,12,Des,Des-2025,12988000,7369000,2662.5
2026,1,Jan,Jan-2026,13135000,6954000,2692.7
2026,2,Feb,Feb-2026,13094000,6999000,2684.3
2026,3,Mar,Mar-2026,13389000,7677000,2744.7
2026,4,Apr,Apr-2026,13427000,7388000,2752.5
2026,5,Mei,Mei-2026,13560000,7245000,2779.8
2026,6,Jun,Jun-2026,13924000,7564000,2854.4
2026,7,Jul,Jul-2026,13937000,7696000,2857.1
2026,8,Agu,Agu-2026,13791000,7359000,2827.2
