EstateKode,Estate,Wilayah,Tahun,Bulan,NamaBulan,Periode,CurahHujan_mm,HariHujan,HariKerjaEfektif,Evapotranspirasi_mm,DefisitAir_mm,DefisitAirKumulatif12Bulan_mm,CurahHujan12Bulan_mm,BulanKering,StatusIklim
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,1,Jan,Jan-2021,215.4,14,31,150.0,0.0,0.0,215.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,2,Feb,Feb-2021,414.2,17,28,150.0,0.0,0.0,629.6,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,3,Mar,Mar-2021,396.0,18,30,150.0,0.0,0.0,1025.6,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,4,Apr,Apr-2021,288.6,10,30,150.0,0.0,0.0,1314.2,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,5,Mei,Mei-2021,304.9,12,31,150.0,0.0,0.0,1619.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,6,Jun,Jun-2021,377.8,12,30,150.0,0.0,0.0,1996.9,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,7,Jul,Jul-2021,150.9,7,31,150.0,0.0,0.0,2147.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,8,Agu,Agu-2021,134.9,5,31,150.0,15.1,15.1,2282.7,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,9,Sep,Sep-2021,270.1,11,30,150.0,0.0,15.1,2552.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,10,Okt,Okt-2021,223.9,9,31,150.0,0.0,15.1,2776.7,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,11,Nov,Nov-2021,307.6,13,30,150.0,0.0,15.1,3084.3,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2021,12,Des,Des-2021,431.7,16,31,150.0,0.0,15.1,3516.0,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,1,Jan,Jan-2022,317.5,13,31,150.0,0.0,15.1,3618.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,2,Feb,Feb-2022,300.5,14,28,150.0,0.0,15.1,3504.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,3,Mar,Mar-2022,468.3,19,30,150.0,0.0,15.1,3576.7,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,4,Apr,Apr-2022,177.4,10,29,150.0,0.0,15.1,3465.5,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,5,Mei,Mei-2022,350.9,14,30,150.0,0.0,15.1,3511.5,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,6,Jun,Jun-2022,197.9,7,30,150.0,0.0,15.1,3331.6,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,7,Jul,Jul-2022,185.2,8,31,150.0,0.0,15.1,3365.9,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,8,Agu,Agu-2022,209.4,9,31,150.0,0.0,0.0,3440.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,9,Sep,Sep-2022,234.9,10,30,150.0,0.0,0.0,3405.2,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,10,Okt,Okt-2022,365.1,14,31,150.0,0.0,0.0,3546.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,11,Nov,Nov-2022,274.5,13,30,150.0,0.0,0.0,3513.3,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2022,12,Des,Des-2022,476.6,17,31,150.0,0.0,0.0,3558.2,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,1,Jan,Jan-2023,326.6,15,31,150.0,0.0,0.0,3567.3,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,2,Feb,Feb-2023,396.4,15,28,150.0,0.0,0.0,3663.2,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,3,Mar,Mar-2023,331.9,15,31,150.0,0.0,0.0,3526.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,4,Apr,Apr-2023,291.8,12,29,150.0,0.0,0.0,3641.2,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,5,Mei,Mei-2023,263.1,8,31,150.0,0.0,0.0,3553.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,6,Jun,Jun-2023,99.9,6,30,150.0,50.1,50.1,3455.4,1,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,7,Jul,Jul-2023,135.8,4,31,150.0,14.2,64.3,3406.0,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,8,Agu,Agu-2023,144.3,4,30,150.0,5.7,70.0,3340.9,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,9,Sep,Sep-2023,229.2,9,30,150.0,0.0,70.0,3335.2,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,10,Okt,Okt-2023,129.6,5,31,150.0,20.4,90.4,3099.7,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,11,Nov,Nov-2023,45.6,4,30,150.0,104.4,194.8,2870.8,1,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2023,12,Des,Des-2023,241.9,13,31,150.0,0.0,194.8,2636.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,1,Jan,Jan-2024,258.2,10,31,150.0,0.0,194.8,2567.7,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,2,Feb,Feb-2024,251.1,8,29,150.0,0.0,194.8,2422.4,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,3,Mar,Mar-2024,271.8,13,31,150.0,0.0,194.8,2362.3,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,4,Apr,Apr-2024,320.3,10,30,150.0,0.0,194.8,2390.8,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,5,Mei,Mei-2024,291.6,12,30,150.0,0.0,194.8,2419.3,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,6,Jun,Jun-2024,135.5,7,30,150.0,14.5,159.2,2454.9,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,7,Jul,Jul-2024,111.0,4,31,150.0,39.0,184.0,2430.1,0,Normal
BSK,Estate Bukit Sekawan,Kalimantan Tengah,2024,8,Agu,Agu-2024,141.5,6,31,150.0,8.5,186.8,2427.3,0,Normal
