SampelID,Tanggal,Bulan,NamaBulan,Minggu,PKS,KodePKS,Wilayah,KapasitasPKS_TonPerJam,Shift,Stasiun,JenisLosses,Basis,HasilAnalisa_Persen,StandarMaks_Persen,Deviasi_Persen,Status,Analis,MetodeUji,TBS_Olah_Ton,JamOlah,KapasitasTerpakai_Persen,SuhuRebusan_C,TekananRebusan_Bar,SiklusRebusan_Menit,TekananPress_Bar,JamOperasiPress_Kumulatif,JanjangMentahHariIni_Persen,RestanRata2_Jam
LS-000001,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.35,0.45,-0.1,Sesuai Standar,Agus Prakoso,NMR,558.1,10.1,92.1,137.0,3.16,86.6,48.6,3200,2.17,12.4
LS-000002,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Unstripped Bunch (USB),Oil Loss,% terhadap TBS olah,0.076,0.1,-0.024,Sesuai Standar,Firman Ramadhan,Oven Kadar Air + Soxhlet,558.1,10.1,92.1,140.9,2.91,89.6,50.3,3200,2.17,12.4
LS-000003,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Ampas Press / Fibre,Oil Loss,% terhadap TBS olah,0.535,0.6,-0.065,Sesuai Standar,Umi Salamah,Soxhlet Ekstraksi,558.1,10.1,92.1,139.5,2.81,87.5,47.8,3200,2.17,12.4
LS-000004,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Biji / Nut,Oil Loss,% terhadap TBS olah,0.181,0.2,-0.019,Sesuai Standar,Nanda Wijaya,Oven Kadar Air + Soxhlet,558.1,10.1,92.1,134.6,2.9,92.1,47.5,3200,2.17,12.4
LS-000005,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Sludge / Final Effluent,Oil Loss,% terhadap TBS olah,0.461,0.55,-0.089,Sesuai Standar,Umi Salamah,NMR,558.1,10.1,92.1,139.0,2.85,92.7,48.0,3200,2.17,12.4
LS-000006,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Fibre Cyclone,Kernel Loss,% terhadap TBS olah,0.497,0.6,-0.103,Sesuai Standar,Agus Prakoso,Soxhlet Ekstraksi,558.1,10.1,92.1,136.1,2.91,88.8,47.4,3200,2.17,12.4
LS-000007,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Cangkang (LTDS),Kernel Loss,% terhadap TBS olah,0.423,0.55,-0.127,Sesuai Standar,Firman Ramadhan,Oven Kadar Air + Soxhlet,558.1,10.1,92.1,134.6,3.08,92.6,43.9,3200,2.17,12.4
LS-000008,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Kernel di Claybath,Kernel Loss,% terhadap TBS olah,0.32,0.35,-0.03,Sesuai Standar,Agus Prakoso,Oven Kadar Air + Soxhlet,558.1,10.1,92.1,133.7,2.96,87.3,50.1,3200,2.17,12.4
LS-000009,2026-01-01,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 2,Kernel di Effluent,Kernel Loss,% terhadap TBS olah,0.043,0.05,-0.007,Sesuai Standar,Nanda Wijaya,Oven Kadar Air + Soxhlet,558.1,10.1,92.1,137.2,2.86,93.1,47.4,3200,2.17,12.4
LS-000010,2026-01-02,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,Shift 1,Tandan Kosong (EFB),Oil Loss,% terhadap TBS olah,0.351,0.45,-0.099,Sesuai Standar,Tirta Sanjaya,NMR,469.6,8.1,96.6,137.6,2.66,90.5,49.2,3200,3.14,12.7
