Tahun,Bulan,NamaBulan,Periode,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,UmurTanaman,JenisTanah,TBS_Ton,TonPerHa,JumlahJanjang,BJR_Kg,PotensiTonPerHa_Bulan,YieldGap_TonPerHa,PencapaianPotensi_Persen,CurahHujanBulanIni_mm,DefisitAirBulanIni_mm,CurahHujanLag24_32Bulan_mm,DefisitAirLag5_6Bulan_mm,K_Daun_Persen,RealisasiPupukSem1_Persen
2024,1,Jan,Jan-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,48.92,1.653,3494,14.0,1.96,-0.307,84.3,258.2,0.0,279.9,9.9,1.017,50.2
2024,2,Feb,Feb-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,56.12,1.896,3766,14.9,2.147,-0.251,88.3,251.1,0.0,279.4,2.9,1.017,50.2
2024,3,Mar,Mar-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,64.27,2.171,4691,13.7,2.333,-0.162,93.1,271.8,0.0,289.5,10.2,1.017,50.2
2024,4,Apr,Apr-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,65.55,2.214,4784,13.7,2.47,-0.256,89.7,320.3,0.0,292.4,62.4,1.017,50.2
2024,5,Mei,Mei-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,62.17,2.1,4973,12.5,2.52,-0.42,83.3,291.6,0.0,316.4,52.2,1.017,50.2
2024,6,Jun,Jun-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,68.18,2.304,4940,13.8,2.47,-0.166,93.3,135.5,14.5,308.4,0.0,1.017,50.2
2024,7,Jul,Jul-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,62.07,2.097,4497,13.8,2.333,-0.236,89.9,111.0,39.0,304.1,0.0,1.017,50.2
2024,8,Agu,Agu-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,57.13,1.93,4498,12.7,2.147,-0.217,89.9,141.5,8.5,293.2,0.0,1.017,50.2
2024,9,Sep,Sep-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,51.18,1.729,3848,13.3,1.96,-0.231,88.2,204.2,0.0,271.3,0.0,1.017,50.2
2024,10,Okt,Okt-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,46.35,1.566,3263,14.2,1.823,-0.258,85.9,480.4,0.0,276.6,0.0,1.017,50.2
2024,11,Nov,Nov-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,46.89,1.584,3663,12.8,1.773,-0.189,89.3,365.0,0.0,273.7,7.2,1.017,50.2
2024,12,Des,Des-2024,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,12,Mineral,49.84,1.684,3345,14.9,1.823,-0.14,92.3,294.8,0.0,274.7,26.8,1.017,50.2
2025,1,Jan,Jan-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,47.01,1.588,3357,14.0,1.89,-0.302,84.0,445.7,0.0,291.2,23.8,1.017,50.2
2025,2,Feb,Feb-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,52.86,1.786,3477,15.2,2.07,-0.284,86.3,284.3,0.0,296.3,4.2,1.017,50.2
2025,3,Mar,Mar-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,60.42,2.041,4475,13.5,2.25,-0.209,90.7,531.2,0.0,311.2,0.0,1.017,50.2
2025,4,Apr,Apr-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,66.82,2.257,4283,15.6,2.382,-0.124,94.8,252.6,0.0,323.0,0.0,1.017,50.2
2025,5,Mei,Mei-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,61.83,2.089,4177,14.8,2.43,-0.341,86.0,303.2,0.0,329.0,0.0,1.017,50.2
2025,6,Jun,Jun-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,62.31,2.105,3846,16.2,2.382,-0.277,88.4,82.4,67.6,314.0,0.0,1.017,50.2
2025,7,Jul,Jul-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,63.7,2.152,4517,14.1,2.25,-0.098,95.6,205.8,0.0,288.5,0.0,1.017,50.2
2025,8,Agu,Agu-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,52.74,1.782,3447,15.3,2.07,-0.288,86.1,119.4,30.6,274.0,0.0,1.017,50.2
2025,9,Sep,Sep-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,46.72,1.578,3221,14.5,1.89,-0.312,83.5,249.2,0.0,246.6,0.0,1.017,50.2
2025,10,Okt,Okt-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,39.47,1.333,2451,16.1,1.758,-0.425,75.8,325.2,0.0,224.7,0.0,1.017,50.2
2025,11,Nov,Nov-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,35.38,1.195,2440,14.5,1.71,-0.515,69.9,412.6,0.0,185.7,33.8,1.017,50.2
2025,12,Des,Des-2025,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,13,Mineral,32.88,1.111,2299,14.3,1.758,-0.647,63.2,482.2,0.0,175.7,33.8,1.017,50.2
2026,1,Jan,Jan-2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,Mineral,37.54,1.268,2302,16.3,1.89,-0.622,67.1,524.6,0.0,172.0,15.3,1.017,50.2
2026,2,Feb,Feb-2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,Mineral,40.03,1.352,2533,15.8,2.07,-0.718,65.3,224.3,0.0,170.6,15.3,1.017,50.2
2026,3,Mar,Mar-2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,Mineral,47.16,1.593,3082,15.3,2.25,-0.657,70.8,374.6,0.0,189.7,0.0,1.017,50.2
2026,4,Apr,Apr-2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,14,Mineral,55.52,1.876,3628,15.3,2.382,-0.506,78.8,377.6,0.0,210.2,0.0,1.017,50.2
