Tanggal,Tahun,Bulan,NamaBulan,Minggu,PKS,KodePKS,Wilayah,KapasitasPKS_TonPerJam,TBS_Olah_Ton,JamOlah,KapasitasTerpakai_Persen,CPO_Ton,PK_Ton,OER_Persen,KER_Persen,TargetOER_Persen,GapOER_Persen,TotalOilLoss_Persen,TotalKernelLoss_Persen,ALB_CPO_Persen,KadarAir_CPO_Persen,KadarKotoran_CPO_Persen,JanjangMentahRata2_Persen,RestanTBSRata2_Jam,Downtime_Jam,NilaiCPO_Rp,PotensiKehilanganOER_Rp
2026-01-01,2026,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,558.1,10.1,92.1,126.8,25.39,22.72,4.55,23.2,-0.48,1.603,1.283,2.37,0.212,0.0251,2.17,12.4,1.9,1665518000,35187088
2026-01-02,2026,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,469.6,8.1,96.6,107.87,21.79,22.97,4.64,23.2,-0.23,1.541,1.34,2.61,0.126,0.0179,3.14,12.7,0.0,1416872450,14186850
2026-01-03,2026,1,Jan,1,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,547.1,9.7,94.0,124.3,25.66,22.72,4.69,23.2,-0.48,1.58,1.366,2.94,0.174,0.0159,2.73,12.8,1.7,1632680500,34493560
2026-01-05,2026,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,495.5,8.8,93.8,112.53,22.59,22.71,4.56,23.2,-0.49,1.576,1.257,2.55,0.206,0.0182,2.28,13.5,1.6,1478081550,31891123
2026-01-06,2026,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,494.0,9.3,88.5,113.13,22.43,22.9,4.54,23.2,-0.3,1.632,1.42,2.56,0.179,0.022,2.54,11.9,2.9,1485962550,19466070
2026-01-07,2026,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,481.4,8.5,94.4,108.7,22.43,22.58,4.66,23.2,-0.62,1.757,1.317,2.89,0.193,0.0262,1.95,17.5,1.3,1427774500,39203771
2026-01-08,2026,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,561.0,10.5,89.0,128.19,25.58,22.85,4.56,23.2,-0.35,1.641,1.389,2.73,0.132,0.0172,2.85,12.8,0.1,1683775650,25790572
2026-01-09,2026,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,495.9,9.8,84.3,112.92,23.31,22.77,4.7,23.2,-0.43,1.529,1.226,2.66,0.137,0.0251,2.77,12.5,1.1,1483204200,28008679
2026-01-10,2026,1,Jan,2,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,503.8,8.9,94.3,114.06,23.68,22.64,4.7,23.2,-0.56,1.605,1.358,2.77,0.157,0.02,3.1,13.6,0.7,1498178100,37057512
2026-01-12,2026,1,Jan,3,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,470.1,9.5,82.5,107.51,21.39,22.87,4.55,23.2,-0.33,1.729,1.312,2.76,0.167,0.0169,2.77,13.4,0.6,1412143850,20376719
2026-01-13,2026,1,Jan,3,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,514.8,9.4,91.3,117.17,23.73,22.76,4.61,23.2,-0.44,1.69,1.217,2.7,0.209,0.017,2.6,11.0,2.0,1539027950,29752351
2026-01-14,2026,1,Jan,3,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,534.9,9.3,95.9,122.76,24.71,22.95,4.62,23.2,-0.25,1.581,1.306,2.55,0.171,0.018,2.72,12.6,1.1,1612452600,17564778
2026-01-15,2026,1,Jan,3,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,494.6,8.9,92.6,112.37,23.15,22.72,4.68,23.2,-0.48,1.659,1.369,2.75,0.197,0.021,2.48,14.3,2.4,1475979950,31183540
2026-01-16,2026,1,Jan,3,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,525.4,10.1,86.7,120.58,24.17,22.95,4.6,23.2,-0.25,1.615,1.272,2.95,0.205,0.0159,2.93,15.6,1.2,1583818300,17252822
2026-01-17,2026,1,Jan,3,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,492.5,8.8,93.3,111.65,22.01,22.67,4.47,23.2,-0.53,1.695,1.342,2.78,0.157,0.0135,2.72,13.7,1.2,1466522750,34285633
2026-01-19,2026,1,Jan,4,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,500.0,10.1,82.5,114.45,23.1,22.89,4.62,23.2,-0.31,1.715,1.369,2.56,0.197,0.0194,1.98,12.1,2.3,1503300750,20359249
2026-01-20,2026,1,Jan,4,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,525.5,9.5,92.2,119.18,24.28,22.68,4.62,23.2,-0.52,1.664,1.265,2.53,0.162,0.0194,2.64,14.9,0.6,1565429300,35892700
2026-01-21,2026,1,Jan,4,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,529.3,10.1,87.3,119.99,23.71,22.67,4.48,23.2,-0.53,1.686,1.409,2.9,0.168,0.0243,3.16,15.6,2.6,1576068650,36847484
2026-01-22,2026,1,Jan,4,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,559.4,10.9,85.5,126.03,26.07,22.53,4.66,23.2,-0.67,1.711,1.282,2.82,0.198,0.0219,3.05,16.5,3.2,1655404050,49229717
2026-01-23,2026,1,Jan,4,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,504.2,8.9,94.4,114.71,23.14,22.75,4.59,23.2,-0.45,1.666,1.376,2.74,0.186,0.0143,1.82,13.6,1.1,1506715850,29802001
2026-01-24,2026,1,Jan,4,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,524.3,10.3,84.8,119.12,24.96,22.72,4.76,23.2,-0.48,1.652,1.223,2.76,0.205,0.0137,1.71,16.7,2.3,1564641200,33056066
2026-01-26,2026,1,Jan,5,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,505.4,9.4,89.6,113.41,23.2,22.44,4.59,23.2,-0.76,1.652,1.365,2.81,0.216,0.0158,3.3,14.8,0.0,1489640350,50452060
2026-01-27,2026,1,Jan,5,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,545.6,10.4,87.4,124.67,25.15,22.85,4.61,23.2,-0.35,1.698,1.344,2.58,0.191,0.017,2.87,13.8,2.0,1637540450,25082595
2026-01-28,2026,1,Jan,5,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,511.3,9.0,94.7,116.01,23.42,22.69,4.58,23.2,-0.51,1.693,1.31,2.77,0.171,0.0184,2.9,14.2,2.3,1523791350,34251220
2026-01-29,2026,1,Jan,5,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,525.4,9.7,90.3,118.11,24.43,22.48,4.65,23.2,-0.72,1.675,1.286,2.62,0.134,0.0206,3.09,13.7,2.1,1551374850,49688128
2026-01-30,2026,1,Jan,5,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,512.4,10.4,82.1,116.01,23.42,22.64,4.57,23.2,-0.56,1.599,1.455,2.72,0.172,0.0194,2.99,15.4,2.4,1523791350,37690094
2026-01-31,2026,1,Jan,5,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,491.1,9.6,85.3,111.82,22.59,22.77,4.6,23.2,-0.43,1.509,1.243,2.89,0.157,0.0132,2.16,18.0,0.5,1468755700,27737573
2026-02-02,2026,2,Feb,6,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,574.4,9.9,96.7,128.49,25.85,22.37,4.5,23.2,-0.83,1.854,1.424,2.5,0.15,0.0236,2.37,13.6,1.3,1682448060,62425906
2026-02-03,2026,2,Feb,6,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,542.0,10.7,84.4,121.68,24.23,22.45,4.47,23.2,-0.75,1.846,1.455,2.67,0.171,0.026,2.38,13.2,2.0,1593277920,53227109
2026-02-04,2026,2,Feb,6,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,554.6,10.7,86.4,125.17,25.84,22.57,4.66,23.2,-0.63,1.76,1.459,2.69,0.209,0.0175,2.48,13.2,2.9,1638975980,45750174
2026-02-05,2026,2,Feb,6,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,580.9,10.6,91.3,131.92,26.9,22.71,4.63,23.2,-0.49,1.922,1.369,2.66,0.2,0.0161,2.29,12.5,1.1,1727360479,37270892
2026-02-06,2026,2,Feb,6,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,550.4,10.5,87.4,124.01,24.99,22.53,4.54,23.2,-0.67,1.828,1.462,2.52,0.147,0.0198,2.67,12.1,0.5,1623786940,48286481
2026-02-07,2026,2,Feb,6,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,542.5,9.8,92.3,122.5,25.23,22.58,4.65,23.2,-0.62,1.816,1.401,3.03,0.129,0.0195,3.04,15.1,3.5,1604015000,44041669
2026-02-09,2026,2,Feb,7,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,554.4,9.9,93.3,124.68,25.56,22.49,4.61,23.2,-0.71,1.837,1.414,3.06,0.163,0.0177,3.03,15.9,1.7,1632559920,51541126
2026-02-10,2026,2,Feb,7,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,569.8,11.0,86.3,127.07,26.21,22.3,4.6,23.2,-0.9,1.924,1.443,2.78,0.17,0.0145,2.65,15.1,3.0,1663854580,67148650
2026-02-11,2026,2,Feb,7,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,603.8,11.1,90.7,134.35,27.96,22.25,4.63,23.2,-0.95,1.855,1.404,2.91,0.162,0.0203,2.36,17.3,0.4,1759178900,75108493
2026-02-12,2026,2,Feb,7,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,514.2,9.3,92.2,114.98,23.29,22.36,4.53,23.2,-0.84,1.841,1.486,2.73,0.168,0.0168,3.39,11.0,1.7,1505548120,56556652
2026-02-13,2026,2,Feb,7,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,536.3,10.0,89.4,119.38,24.19,22.26,4.51,23.2,-0.94,1.898,1.447,2.88,0.167,0.0157,2.0,18.3,3.1,1563161720,66009734
2026-02-14,2026,2,Feb,7,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,532.6,9.7,91.5,119.46,24.29,22.43,4.56,23.2,-0.77,1.852,1.451,2.76,0.198,0.0235,2.31,13.4,1.1,1564209240,53698755
2026-02-16,2026,2,Feb,8,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,532.2,9.2,96.4,120.22,23.9,22.59,4.49,23.2,-0.61,1.806,1.515,2.77,0.237,0.0199,1.64,14.3,1.8,1574160680,42508623
2026-02-17,2026,2,Feb,8,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,536.2,10.7,83.5,120.06,24.83,22.39,4.63,23.2,-0.81,1.852,1.365,3.04,0.167,0.0175,2.73,14.6,2.1,1572065640,56870122
2026-02-18,2026,2,Feb,8,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,525.1,10.6,82.6,118.04,23.89,22.48,4.55,23.2,-0.72,1.806,1.378,2.78,0.176,0.0152,2.55,12.0,0.8,1545615760,49504747
2026-02-19,2026,2,Feb,8,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,583.3,10.9,89.2,131.13,26.95,22.48,4.62,23.2,-0.72,1.861,1.436,2.63,0.221,0.0165,2.43,13.6,2.1,1717016220,54991657
2026-02-20,2026,2,Feb,8,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,554.0,10.0,92.3,123.93,25.26,22.37,4.56,23.2,-0.83,1.821,1.343,3.05,0.199,0.0186,2.74,16.7,2.2,1622739420,60208830
2026-02-21,2026,2,Feb,8,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,523.3,9.8,89.0,117.85,23.34,22.52,4.46,23.2,-0.68,1.797,1.345,2.74,0.101,0.0159,2.71,13.6,0.2,1543127900,46594213
2026-02-23,2026,2,Feb,9,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,569.6,10.5,90.4,127.36,25.8,22.36,4.53,23.2,-0.84,1.809,1.423,2.93,0.203,0.0178,2.31,14.0,4.0,1667651840,62650076
2026-02-24,2026,2,Feb,9,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,549.0,10.5,87.1,123.42,25.64,22.48,4.67,23.2,-0.72,1.956,1.345,2.57,0.213,0.0165,2.79,15.6,2.6,1616061480,51757963
2026-02-25,2026,2,Feb,9,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,502.5,9.6,87.2,113.46,23.47,22.58,4.67,23.2,-0.62,1.862,1.4,2.75,0.129,0.0183,2.2,14.2,0.0,1485645240,40794357
2026-02-26,2026,2,Feb,9,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,519.3,9.1,95.1,117.0,23.58,22.53,4.54,23.2,-0.67,1.85,1.393,2.67,0.199,0.0231,2.13,14.3,2.0,1531998000,45558085
2026-02-27,2026,2,Feb,9,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,601.0,11.9,84.2,133.96,27.65,22.29,4.6,23.2,-0.91,1.864,1.34,2.78,0.185,0.018,1.87,16.5,4.5,1754072240,71612395
2026-02-28,2026,2,Feb,9,PKS Bukit Sekawan,PKS-BSK,Kalimantan Tengah,60,565.3,10.3,91.5,126.8,25.66,22.43,4.54,23.2,-0.77,1.882,1.356,2.23,0.174,0.0155,3.51,13.7,2.2,1660319200,56995694
