RekomendasiID,Tahun,BlokID,EstateKode,Estate,Wilayah,Afdeling,StatusKebun,LuasHa,JumlahPokok,UmurTanaman,JenisTanah,K_Daun_Persen,StatusK,NPK_13_6_27_4_KgPerPokok,MOP_KgPerPokok,Kieserite_KgPerPokok,Urea_KgPerPokok,RockPhosphate_KgPerPokok,Borate_KgPerPokok,TotalPupuk_Ton,EstimasiBiaya_Rp,Semester1_Persen,Semester2_Persen,DasarRekomendasi,DisusunOleh,DisetujuiOleh
RK-00001,2026,BSK-A-001,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.6,4233,14,Mineral,1.017,Optimum,3.22,1.4,0.85,0.9,0.45,0.18,29.63,252964323,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00002,2026,BSK-A-002,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.3,3736,19,Podsolik Merah Kuning,1.04,Optimum,3.14,1.49,1.2,0.9,0.45,0.18,27.5,249113788,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00003,2026,BSK-A-003,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,26.1,3393,10,Mineral,1.008,Optimum,3.28,1.47,0.85,0.9,0.45,0.1,23.92,205237506,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00004,2026,BSK-A-004,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.4,4256,10,Mineral,0.977,Defisit,4.31,1.31,0.85,1.25,0.45,0.1,35.2,303003576,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00005,2026,BSK-A-005,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.3,3280,12,Gambut,0.77,Defisit,4.48,2.18,1.2,0.9,0.75,0.1,31.52,284907866,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00006,2026,BSK-A-006,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,29.2,4176,15,Gambut,1.161,Optimum,3.18,1.5,0.85,0.9,0.75,0.18,30.74,271022991,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00007,2026,BSK-A-007,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.9,3850,12,Mineral,0.996,Defisit,4.13,1.36,1.2,0.9,0.45,0.18,31.65,290979861,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00008,2026,BSK-A-008,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.8,4134,12,Podsolik Merah Kuning,1.119,Optimum,3.22,1.29,1.2,0.9,0.45,0.1,29.6,242255753,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00009,2026,BSK-A-009,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.7,3731,9,Gambut,1.044,Optimum,3.27,1.49,0.85,0.9,0.75,0.18,27.76,227159019,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00010,2026,BSK-A-010,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.1,3822,11,Mineral,1.015,Optimum,3.36,1.43,0.85,0.9,0.45,0.1,27.1,222344960,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00011,2026,BSK-A-011,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.9,3815,17,Mineral,0.849,Defisit,4.19,2.21,1.2,1.25,0.45,0.1,35.86,318155239,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00012,2026,BSK-A-012,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.9,4017,13,Mineral,0.899,Defisit,4.16,2.13,1.2,1.25,0.45,0.18,37.64,333494275,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00013,2026,BSK-A-013,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,28.5,3876,15,Aluvial,0.769,Defisit,4.45,2.14,0.85,0.9,0.45,0.1,34.46,306375227,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00014,2026,BSK-A-014,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,24.2,3194,9,Mineral,0.765,Defisit,4.16,2.21,0.85,1.25,0.45,0.1,28.81,234088020,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00015,2026,BSK-A-015,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.2,3226,12,Mineral,0.743,Defisit,4.17,2.13,0.85,0.9,0.45,0.1,27.74,248612902,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00016,2026,BSK-A-016,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,27.8,3753,11,Mineral,0.867,Defisit,4.23,2.19,0.85,1.25,0.45,0.1,34.04,293675114,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00017,2026,BSK-A-017,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,30.5,4026,16,Podsolik Merah Kuning,1.121,Optimum,3.45,1.28,1.2,0.9,0.45,0.18,30.03,244987836,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00018,2026,BSK-A-018,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,25.3,3491,7,Mineral,1.054,Optimum,3.2,1.31,0.85,0.9,0.45,0.1,23.77,201183286,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
RK-00019,2026,BSK-A-019,BSK,Estate Bukit Sekawan,Kalimantan Tengah,A,Inti,31.6,4424,17,Mineral,0.984,Defisit,4.31,1.47,0.85,0.9,0.45,0.1,35.75,317819006,55,45,Analisa daun LSU 2026 + analisa tanah + potensi produksi,Sadewa Kusuma Putra (RND),Ratna Kusumaningrum (Direktur Operasi)
